web-scraper-order,web-scraper-start-url,selector_lapin_pigeon,selector_lapin_pigeon-href,nom,prix,adresse,image
"1737923554-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Femelle GDF 4 mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099","Femelle GDF 4 mois","70 000 CFA","Médina, Dakar, Sénégal",""
"1737923564-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin nain noir adulte","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-noir-adulte-878312","Lapin nain noir adulte","10 000 CFA","Médina, Dakar, Sénégal",""
"1737923575-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-885789","Poulet de chair","2 500 CFA","Dakar, Sénégal",""
"1737923614-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coqs et poussins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-et-poussins-886578","Coqs et poussins","800 CFA","Sénégal",""
"1737923625-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-886584","Poulet de chair","2 500 CFA","Sénégal",""
"1737923637-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-899472","Coq","30 000 CFA","Dakar, Sénégal",""
"1737923646-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussins bantam","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-899477","Poussins bantam","15 000 CFA","Dakar, Sénégal",""
"1737923655-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Barahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/barahmane-899487","Barahmane","15 000 CFA","Dakar, Sénégal",""
"1737923665-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Femelle Cochin bleu","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496","Femelle Cochin bleu","30 000 CFA","Dakar, Sénégal",""
"1737923674-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730","Poulet de chair","Prix sur demande","Pikine, Sénégal",""
"1737923686-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussins Bantam","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493","Poussins Bantam","8 000 CFA","Keur Massar, Sénégal",""
"1737923695-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bouldolande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280","Bouldolande","7 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1737923704-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet - Pigeon  - Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363","Poulet - Pigeon  - Lapin","Prix sur demande","Sénégal",""
"1737923713-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paons Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953","Paons Pigeons","30 000 CFA","Guediawaye, Dakar, Sénégal",""
"1737923723-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534","Poules","7 000 CFA","Sénégal",""
"1737923733-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins angora californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655","Lapins angora californien","11 000 CFA","Médina, Dakar, Sénégal",""
"1737923746-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Brahmane poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369","Brahmane poules","35 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1737923754-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bleus d'hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380","Bleus d'hollande","15 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1737923764-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407","Pigeon voyageur","20 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1737923772-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413","Pigeon voyageur","25 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1737923793-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424","Pigeon voyageur","20 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1737923814-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin angora californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679","Lapin angora californien","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737923826-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin géant","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073","Lapin géant","45 000 CFA","Yoff, Dakar, Sénégal",""
"1737923837-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Perroquet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990","Perroquet","75 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1737923847-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin géant des Flandres","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763","Lapin géant des Flandres","35 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1737923855-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon links","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921","Pigeon links","Prix sur demande","Diourbel, Sénégal",""
"1737923866-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple pigeons cravatés français","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720","Couple pigeons cravatés français","50 000 CFA","Cambérène, Dakar, Sénégal",""
"1737923885-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bleu hollandais","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010","Bleu hollandais","25 000 CFA","Sénégal",""
"1737923900-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405","Pigeons","Prix sur demande","Fatick, Sénégal",""
"1737923909-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets Guinars tiirr","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-guinars-tiirr-1146827","Poulets Guinars tiirr","Prix sur demande","Patte d'oie, Dakar, Sénégal",""
"1737923917-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Maton","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/maton-1148605","Maton","25 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737923933-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lawar","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lawar-1148681","Lawar","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737923945-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin - 1 jour","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-1159518","Poussin - 1 jour","Prix sur demande","Sénégal",""
"1737923954-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Jeune femelle  lavande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-femelle-lavande-1204935","Jeune femelle  lavande","20 000 CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1737923968-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1209192","Pigeons","60 000 CFA","Pikine, Sénégal",""
"1737923977-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon à queue de paon indien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-a-queue-de-paon-indien-1242200","Pigeon à queue de paon indien","20 000 CFA","Dakar, Sénégal",""
"1737923985-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-fauve-1246480","Pigeon fauve","10 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737923996-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon mondain","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-1247406","Pigeon mondain","20 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924006-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapereaux fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal",""
"1737924017-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","Lapins de race","70 000 CFA","Guediawaye, Dakar, Sénégal",""
"1737924026-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","Lapins de race","70 000 CFA","Guediawaye, Dakar, Sénégal",""
"1737924038-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-1291244","Lapin","25 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1737924047-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Dinde d'Amérique","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Dinde d'Amérique","Prix sur demande","Dakar, Sénégal",""
"1737924055-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Canards","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/canards-1346042","Canards","5 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924066-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1364891","Lapins de race","80 000 CFA","Yoff, Dakar, Sénégal",""
"1737924076-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oeuf fécondé","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452","Oeuf fécondé","240 CFA","Dakar, Sénégal",""
"1737924085-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Trio Bantam de Pékin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","Trio Bantam de Pékin","60 000 CFA","Keur Massar, Sénégal",""
"1737924097-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","Brahmane","50 000 CFA","Keur Massar, Sénégal",""
"1737924107-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","Poulet de race","40 000 CFA","Dakar, Sénégal",""
"1737924117-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin hermine - 7 jours","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","Poussin hermine - 7 jours","15 000 CFA","Sénégal",""
"1737924125-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","Poule","35 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1737924134-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Males Bantam de Pékin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","Males Bantam de Pékin","15 000 CFA","Keur Massar, Sénégal",""
"1737924143-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","Poulet","40 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1737924152-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Cochin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Couple Cochin","Prix sur demande","Keur Massar, Sénégal",""
"1737924162-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oies","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132","Oies","90 000 CFA","Keur Massar, Sénégal",""
"1737924171-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Femelle cochin bleu","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500","Femelle cochin bleu","30 000 CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1737924180-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136","Poule","55 000 CFA","Keur Massar, Sénégal",""
"1737924188-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Blond Panoramin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385","Blond Panoramin","40 000 CFA","Guediawaye, Dakar, Sénégal",""
"1737924197-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin métissé","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460","Lapin métissé","10 000 CFA","Dakar, Sénégal",""
"1737924210-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196","Paon","250 000 CFA","Dakar, Sénégal",""
"1737924223-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq Orpington Fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722","Coq Orpington Fauve","35 000 CFA","Louga, Sénégal",""
"1737924232-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742","Pigeons","65 000 CFA","Dakar-Plateau, Dakar, Sénégal",""
"1737924242-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin Orpington","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103","Poussin Orpington","5 000 CFA","Dakar, Sénégal",""
"1737924251-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-1723625","Coq","25 000 CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1737924260-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin Angora","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-1732205","Lapin Angora","25 000 CFA","Thies Nord, Thiès, Sénégal",""
"1737924269-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Mâle bantam","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-bantam-1773437","Mâle bantam","20 000 CFA","Keur Massar, Sénégal",""
"1737924278-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon texan paon indien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804515","Pigeon texan paon indien","60 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1737924290-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon texan - Paon indien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804522","Pigeon texan - Paon indien","60 000 CFA","Dakar, Sénégal",""
"1737924299-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paon indien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-indien-1804679","Paon indien","30 000 CFA","Keur Massar, Sénégal",""
"1737924315-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1804847","Poulet de chair","2 700 CFA","Sénégal",""
"1737924326-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Cop Brahma","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cop-brahma-1812172","Cop Brahma","40 000 CFA","Parcelle Assainies, Dakar, Sénégal",""
"1737924341-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831098","Pigeon voyageur","13 000 CFA","Dakar-Plateau, Dakar, Sénégal",""
"1737924354-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831100","Pigeon voyageur","13 000 CFA","Dakar-Plateau, Dakar, Sénégal",""
"1737924366-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1842198","Poulet de chair","3 000 CFA","Rufisque, Sénégal",""
"1737924377-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons Mondain / boulan","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-boulan-1856511","Pigeons Mondain / boulan","Prix sur demande","Louga, Sénégal",""
"1737924390-86","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1888745","Poulet de chair","2 500 CFA","Keur Massar, Sénégal",""
"1737924404-87","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon paon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-paon-1890068","Pigeon paon","40 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924416-88","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1890093","Pigeons","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924427-89","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons Laor","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-laor-1890181","Pigeons Laor","40 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924438-90","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons King","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-king-1890193","Pigeons King","35 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924452-91","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq Orpitone","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpitone-1890489","Coq Orpitone","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924460-92","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1907954","Poulet","3 000 CFA","Dakar, Sénégal",""
"1737924468-93","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Orpington","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/orpington-1913036","Orpington","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1737924475-94","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-1913175","Lapins","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal",""
"1737924484-95","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1918730","Poulets","2 750 CFA","Dakar, Sénégal",""
"1737924493-96","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets de chairs","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chairs-1934126","Poulets de chairs","2 500 CFA","Dakar, Sénégal",""
"1737924504-97","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1963021","Poulets","2 400 CFA","Dakar, Sénégal",""
"1737924532-98","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1963033","Poulets","2 400 CFA","Dakar, Sénégal",""
"1737924541-99","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins nés le 8 avril","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-nes-le-8-avril-1971696","Poussins nés le 8 avril","650 CFA","Saly, Sénégal",""
"1737924554-100","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Brahman","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-brahman-1975396","Couple Brahman","Prix sur demande","Keur Massar, Sénégal",""
"1737924565-101","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-1988804","Poulets de chair","2 500 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1737924575-102","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins  brahman colombia","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahman-colombia-1990096","Poussins  brahman colombia","Prix sur demande","Keur Massar, Sénégal",""
"1737924582-103","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-1992182","Pigeon","35 000 CFA","Guediawaye, Dakar, Sénégal",""
"1737924592-104","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Laor","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995115","Couple Laor","50 000 CFA","Dakar, Sénégal",""
"1737924600-105","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1995134","Pigeons","50 000 CFA","Dakar, Sénégal",""
"1737924612-106","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple  Laor","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995183","Couple  Laor","50 000 CFA","Dakar, Sénégal",""
"1737924621-107","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Laor","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995210","Couple Laor","50 000 CFA","Dakar, Sénégal",""
"1737924628-108","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Oie","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oie-1997244","Oie","35 000 CFA","Dakar, Sénégal",""
